dot_number,company_fit_score,expert_label,true_label,pred_label
77512,0.7,BAD,0,1
210726,0.7,GOOD,1,1
211178,0.7,GOOD,1,1
222371,0.7,OK,0,1
285579,0.7,BAD,0,1
420403,0.7,BAD,0,1
446956,0.7,GREAT,1,1
500447,0.7,BAD,0,1
545169,0.7,BAD,0,1
604989,0.7,GOOD,1,1
618410,0.7,BAD,0,1
625429,0.7,BAD,0,1
629029,0.7,BAD,0,1
658424,0.7,BAD,0,1
683431,0.7,BAD,0,1
741999,0.7,BAD,0,1
759281,0.7,BAD,0,1
798666,0.7,GOOD,1,1
856154,0.7,BAD,0,1
872674,0.7,BAD,0,1
890725,0.7,BAD,0,1
893568,0.7,BAD,0,1
947444,0.7,BAD,0,1
961805,0.7,OK,0,1
967650,0.7,BAD,0,1
1032413,0.7,BAD,0,1
1039122,0.7,OK,0,1
1050762,0.7,BAD,0,1
1056250,0.7,BAD,0,1
1090623,0.7,BAD,0,1
1092701,0.7,BAD,0,1
1092993,0.7,GOOD,1,1
1093164,0.7,GOOD,1,1
1099317,0.7,BAD,0,1
1101107,0.7,BAD,0,1
1108774,0.7,GOOD,1,1
1109515,0.7,GOOD,1,1
1109941,0.7,BAD,0,1
1111712,0.7,GOOD,1,1
1114373,0.7,GOOD,1,1
1142355,0.7,BAD,0,1
1143052,0.7,BAD,0,1
1145615,0.7,BAD,0,1
1146617,0.7,BAD,0,1
1146879,0.7,GREAT,1,1
1150925,0.7,GREAT,1,1
1153345,0.7,BAD,0,1
1157155,0.7,GOOD,1,1
1169496,0.7,GOOD,1,1
1184736,0.7,BAD,0,1
1229630,0.7,BAD,0,1
1233381,0.7,BAD,0,1
1240807,0.7,OK,0,1
1260765,0.7,BAD,0,1
1261235,0.7,GREAT,1,1
1278837,0.7,GOOD,1,1
1284668,0.7,BAD,0,1
1286846,0.7,BAD,0,1
1333819,0.7,GOOD,1,1
1419124,0.7,BAD,0,1
1420534,0.7,BAD,0,1
1437456,0.7,GOOD,1,1
1452698,0.7,BAD,0,1
1456070,0.7,BAD,0,1
1468506,0.7,GOOD,1,1
1524189,0.7,BAD,0,1
1552683,0.7,BAD,0,1
1561829,0.7,BAD,0,1
1567493,0.7,BAD,0,1
1595005,0.7,GOOD,1,1
1603546,0.7,BAD,0,1
1607315,0.7,GOOD,1,1
1614219,0.7,BAD,0,1
1625476,0.7,BAD,0,1
1628810,0.7,GOOD,1,1
1654460,0.7,GOOD,1,1
1671558,0.7,OK,0,1
1682485,0.7,BAD,0,1
1702384,0.7,BAD,0,1
1703088,0.7,BAD,0,1
1733877,0.7,GOOD,1,1
1734370,0.7,BAD,0,1
1763413,0.7,GOOD,1,1
1775387,0.7,BAD,0,1
1775530,0.7,BAD,0,1
1785650,0.7,GOOD,1,1
1789242,0.7,BAD,0,1
1793483,0.7,BAD,0,1
1839191,0.7,BAD,0,1
1857534,0.7,BAD,0,1
1859801,0.7,GOOD,1,1
1864920,0.7,BAD,0,1
1875197,0.7,OK,0,1
1884166,0.7,BAD,0,1
1898750,0.7,BAD,0,1
1899006,0.7,BAD,0,1
1920442,0.7,OK,0,1
1926033,0.7,BAD,0,1
1933089,0.7,GOOD,1,1
1938812,0.7,BAD,0,1
1939761,0.7,OK,0,1
1941739,0.7,GREAT,1,1
1950309,0.7,BAD,0,1
1955556,0.7,BAD,0,1
1962554,0.7,BAD,0,1
1970979,0.7,BAD,0,1
1971273,0.7,GOOD,1,1
1977959,0.7,BAD,0,1
1978620,0.7,BAD,0,1
1985989,0.7,GOOD,1,1
1993143,0.7,BAD,0,1
1994733,0.7,GREAT,1,1
2017799,0.7,BAD,0,1
2030937,0.7,GOOD,1,1
2034798,0.7,GREAT,1,1
2039495,0.7,BAD,0,1
2044517,0.7,BAD,0,1
2045183,0.7,BAD,0,1
2051205,0.7,BAD,0,1
2066687,0.7,GREAT,1,1
2068049,0.7,BAD,0,1
2069973,0.7,BAD,0,1
2071334,0.7,GOOD,1,1
2081814,0.7,GOOD,1,1
2086148,0.7,BAD,0,1
2090262,0.7,BAD,0,1
2113537,0.7,GOOD,1,1
2125362,0.7,BAD,0,1
2126315,0.7,BAD,0,1
2128344,0.7,BAD,0,1
2138754,0.7,BAD,0,1
2138966,0.7,BAD,0,1
2147002,0.7,BAD,0,1
2154826,0.7,BAD,0,1
2176782,0.7,GOOD,1,1
2187466,0.7,GOOD,1,1
2196702,0.7,BAD,0,1
2199199,0.7,BAD,0,1
2208946,0.7,OK,0,1
2255844,0.7,BAD,0,1
2260110,0.7,BAD,0,1
2264487,0.7,BAD,0,1
2302058,0.7,BAD,0,1
2328601,0.7,BAD,0,1
2333247,0.7,BAD,0,1
2341632,0.7,GOOD,1,1
2364623,0.7,GOOD,1,1
2365413,0.7,GOOD,1,1
2370939,0.7,BAD,0,1
2379947,0.7,BAD,0,1
2394379,0.7,GOOD,1,1
2408188,0.7,BAD,0,1
2418273,0.7,GOOD,1,1
2418519,0.7,BAD,0,1
2422330,0.7,GOOD,1,1
2430473,0.7,BAD,0,1
2439684,0.7,GREAT,1,1
2442413,0.7,BAD,0,1
2457131,0.7,BAD,0,1
2458869,0.7,BAD,0,1
2475854,0.7,BAD,0,1
2476836,0.7,BAD,0,1
2504217,0.7,BAD,0,1
2504522,0.7,BAD,0,1
2543353,0.7,BAD,0,1
2548643,0.7,BAD,0,1
2550741,0.7,BAD,0,1
2569516,0.7,BAD,0,1
2582595,0.7,BAD,0,1
2585482,0.7,BAD,0,1
2586647,0.7,GOOD,1,1
2593031,0.7,BAD,0,1
2598647,0.7,GOOD,1,1
2599387,0.7,BAD,0,1
2600935,0.7,GOOD,1,1
