dot_number,expert_label
77512,BAD
210726,GOOD
211178,GOOD
222371,OK
285579,BAD
420403,BAD
446956,GREAT
500447,BAD
545169,BAD
604989,GOOD
618410,BAD
625429,BAD
629029,BAD
658424,BAD
683431,BAD
741999,BAD
759281,BAD
798666,GOOD
856154,BAD
872674,BAD
890725,BAD
893568,BAD
947444,BAD
961805,OK
967650,BAD
1032413,BAD
1039122,OK
1050762,BAD
1056250,BAD
1090623,BAD
1092701,BAD
1092993,GOOD
1093164,GOOD
1099317,BAD
1101107,BAD
1108774,GOOD
1109515,GOOD
1109941,BAD
1111712,GOOD
1114373,GOOD
1142355,BAD
1143052,BAD
1145615,BAD
1146617,BAD
1146879,GREAT
1150925,GREAT
1153345,BAD
1157155,GOOD
1169496,GOOD
1184736,BAD
1229630,BAD
1233381,BAD
1240807,OK
1260765,BAD
1261235,GREAT
1278837,GOOD
1284668,BAD
1286846,BAD
1333819,GOOD
1419124,BAD
1420534,BAD
1437456,GOOD
1452698,BAD
1456070,BAD
1468506,GOOD
1524189,BAD
1552683,BAD
1561829,BAD
1567493,BAD
1595005,GOOD
1603546,BAD
1607315,GOOD
1614219,BAD
1625476,BAD
1628810,GOOD
1654460,GOOD
1671558,OK
1682485,BAD
1702384,BAD
1703088,BAD
1733877,GOOD
1734370,BAD
1763413,GOOD
1775387,BAD
1775530,BAD
1785650,GOOD
1789242,BAD
1793483,BAD
1839191,BAD
1857534,BAD
1859801,GOOD
1864920,BAD
1875197,OK
1884166,BAD
1898750,BAD
1899006,BAD
1920442,OK
1926033,BAD
1933089,GOOD
1938812,BAD
1939761,OK
1941739,GREAT
1950309,BAD
1955556,BAD
1962554,BAD
1970979,BAD
1971273,GOOD
1977959,BAD
1978620,BAD
1985989,GOOD
1993143,BAD
1994733,GREAT
2017799,BAD
2030937,GOOD
2034798,GREAT
2039495,BAD
2044517,BAD
2045183,BAD
2051205,BAD
2066687,GREAT
2068049,BAD
2069973,BAD
2071334,GOOD
2081814,GOOD
2086148,BAD
2090262,BAD
2113537,GOOD
2125362,BAD
2126315,BAD
2128344,BAD
2138754,BAD
2138966,BAD
2147002,BAD
2154826,BAD
2176782,GOOD
2187466,GOOD
2196702,BAD
2199199,BAD
2208946,OK
2255844,BAD
2260110,BAD
2264487,BAD
2302058,BAD
2328601,BAD
2333247,BAD
2341632,GOOD
2364623,GOOD
2365413,GOOD
2370939,BAD
2379947,BAD
2394379,GOOD
2408188,BAD
2418273,GOOD
2418519,BAD
2422330,GOOD
2430473,BAD
2439684,GREAT
2442413,BAD
2457131,BAD
2458869,BAD
2475854,BAD
2476836,BAD
2504217,BAD
2504522,BAD
2543353,BAD
2548643,BAD
2550741,BAD
2569516,BAD
2582595,BAD
2585482,BAD
2586647,GOOD
2593031,BAD
2598647,GOOD
2599387,BAD
2600935,GOOD
2601575,GOOD
2602133,GOOD
2602615,GOOD
2609813,GREAT
2619173,GOOD
2620944,BAD
2622753,GOOD
2624105,BAD
2629812,BAD
2643481,GREAT
2643592,BAD
2645759,BAD
2646690,BAD
2653259,BAD
2653865,GOOD
2656472,GOOD
2656626,BAD
2657781,BAD
2659679,GOOD
2661346,GOOD
2662811,BAD
2666587,BAD
2668050,BAD
2672689,GOOD
2674321,BAD
2674952,GOOD
2676852,GOOD
2678052,BAD
2679042,GOOD
2681845,GOOD
2682555,BAD
2683060,BAD
2683105,GOOD
2683576,GOOD
2683654,GREAT
2686001,GOOD
2686431,BAD
2687194,GOOD
2690052,BAD
2690567,GOOD
2690974,GOOD
2691536,BAD
2692898,GOOD
2693472,GOOD
2693998,GOOD
2695620,BAD
2697244,GOOD
2698657,BAD
2699017,GOOD
2700027,BAD
2704122,GOOD
2707232,BAD
2707812,BAD
2712781,BAD
2718908,BAD
2719269,BAD
2727480,BAD
2730694,BAD
2730944,GOOD
2734147,GOOD
2734816,BAD
2735491,GOOD
2739427,GOOD
2740119,BAD
2752590,GOOD
2759146,GOOD
2762434,BAD
2763312,GOOD
2763668,BAD
2764104,BAD
2764978,GOOD
2767808,GOOD
2768336,GOOD
2769635,BAD
2769798,BAD
2770559,GOOD
2774014,OK
2775990,GOOD
2780248,BAD
2802940,BAD
2805075,BAD
2806074,BAD
2807678,GOOD
2810060,BAD
2822401,GREAT
2824672,BAD
2827183,BAD
2848081,GOOD
2850629,GOOD
2856222,BAD
2865965,BAD
2866237,GOOD
2867088,GOOD
2876126,BAD
2877047,BAD
2887751,BAD
2900721,BAD
2900851,BAD
2907833,BAD
2923315,BAD
2946740,GOOD
2978646,BAD
2980980,GOOD
2983716,BAD
2994411,BAD
2998332,BAD
3011059,GOOD
3014976,GOOD
3018294,BAD
3045487,BAD
3056035,BAD
3063306,GOOD
3063877,GOOD
3067717,GREAT
3079561,BAD
3087212,GOOD
3087500,GOOD
3088761,GOOD
3091813,GOOD
3129583,GREAT
3133550,GOOD
3138788,BAD
3138977,GOOD
3141737,BAD
3142729,BAD
3163973,BAD
3164226,GOOD
3165845,BAD
3177601,BAD
3185115,GOOD
3186547,BAD
3210029,GOOD
3217495,GOOD
3218846,BAD
3220124,BAD
3227012,GOOD
3229166,BAD
3233405,BAD
3236490,OK
3240058,BAD
3245343,BAD
3247672,BAD
3247855,GOOD
3249577,BAD
3251904,BAD
3254709,BAD
3261152,GOOD
3263476,GOOD
3272559,BAD
3274004,GOOD
3274474,GREAT
3276499,BAD
3278583,BAD
3281523,BAD
3286327,BAD
3294286,GOOD
3307859,BAD
3313354,BAD
3315327,BAD
3319539,BAD
3321610,BAD
3325187,BAD
3326371,BAD
3332652,BAD
3333987,GREAT
3348269,BAD
3354254,GREAT
3355456,BAD
3359214,BAD
3362271,BAD
3362281,BAD
3407529,GREAT
3409350,GOOD
