dot_number,expert_label
1018556,BAD
1032413,BAD
1039122,OK
1041177,GOOD
1050762,BAD
1056250,BAD
1067299,GOOD
1068840,GOOD
1088554,BAD
1090623,BAD
1092701,BAD
1092993,GOOD
1093164,GOOD
1094035,GOOD
1099317,BAD
1101107,BAD
1104018,BAD
1105738,GOOD
1107584,BAD
1108774,GOOD
1109515,GOOD
1109941,BAD
1111712,GOOD
1113726,GOOD
1114373,GOOD
1142355,BAD
1143052,BAD
1145615,BAD
1146617,BAD
1146879,GREAT
1150925,GREAT
1153345,BAD
1157155,GOOD
1169496,GOOD
1169995,BAD
1172147,BAD
1174747,BAD
1175507,BAD
1184736,BAD
1202775,GOOD
1229630,BAD
1233381,BAD
1240807,OK
1260765,BAD
1261235,GREAT
1278837,GOOD
1280939,BAD
1284668,BAD
1286846,BAD
1333819,GOOD
1352991,BAD
1362161,GOOD
1392096,BAD
1419124,BAD
1420534,BAD
1437456,GOOD
1452698,BAD
1456070,BAD
1468506,GOOD
1479862,BAD
1480680,BAD
1490918,BAD
1505688,GOOD
1511127,BAD
1524169,GREAT
1524189,BAD
1549524,BAD
1552683,BAD
1561829,BAD
1567493,BAD
1580791,GOOD
1586028,BAD
1594617,BAD
1595005,GOOD
1603546,BAD
1607315,GOOD
1614219,BAD
1625476,BAD
1628810,GOOD
1641864,GOOD
1654460,GOOD
1660955,BAD
1666928,OK
1671558,OK
1676172,GOOD
1682485,BAD
1696144,GOOD
1699872,BAD
1702384,BAD
1703088,BAD
1706226,BAD
1727022,BAD
1733877,GOOD
1734370,BAD
1743424,OK
1747453,GREAT
1754891,BAD
1761301,BAD
1763413,GOOD
1765638,OK
1775387,BAD
1775530,BAD
1785650,GOOD
1789242,BAD
1793483,BAD
1801610,GOOD
1821540,BAD
1829266,GOOD
1834058,BAD
1839191,BAD
1840181,GOOD
1842644,GOOD
1844606,BAD
1846962,BAD
1857534,BAD
1859801,GOOD
1864920,BAD
1866578,GREAT
1875197,OK
1877347,BAD
1878717,GOOD
1879744,GOOD
1881346,BAD
1881510,BAD
1882698,BAD
1883823,BAD
1884166,BAD
1898750,BAD
1899006,BAD
1920442,OK
1921938,BAD
1926033,BAD
1933089,GOOD
1934431,BAD
1938812,BAD
1939761,OK
1941739,GREAT
1942298,BAD
1945842,GREAT
1946880,BAD
1949987,BAD
1950309,BAD
1955556,BAD
1962554,BAD
1963374,GOOD
1968197,BAD
1970979,BAD
1971273,GOOD
1974758,BAD
1975160,GREAT
1975662,BAD
1977959,BAD
1978620,BAD
1982713,BAD
1982809,BAD
1985989,GOOD
1993143,BAD
1994733,GREAT
1996570,GOOD
2006396,BAD
2017799,BAD
2024136,BAD
2028114,BAD
2030937,GOOD
2034798,GREAT
2037772,GOOD
2039495,BAD
2039809,BAD
2044517,BAD
2045062,GOOD
2045183,BAD
2049575,BAD
2051205,BAD
2055152,BAD
2058498,BAD
2059407,GOOD
2066687,GREAT
2068049,BAD
2068475,GREAT
2069973,BAD
2071334,GOOD
2076353,BAD
2078177,BAD
207948,BAD
2081814,GOOD
2086148,BAD
2090262,BAD
2104966,BAD
2105044,BAD
210726,GOOD
211178,GOOD
2113537,GOOD
2113899,OK
2125362,BAD
2126315,BAD
2128344,BAD
2133121,BAD
2138690,GOOD
2138754,BAD
2138966,BAD
2144052,BAD
2147002,BAD
2149821,BAD
2154826,BAD
2176782,GOOD
2185115,GOOD
2186662,BAD
2187466,GOOD
2196702,BAD
2199199,BAD
2208946,OK
222371,OK
2254358,BAD
2255844,BAD
2260110,BAD
2264487,BAD
2269365,BAD
2274029,GREAT
2302058,BAD
2313262,BAD
2328601,BAD
2333247,BAD
2341632,GOOD
2343162,OK
2346284,BAD
2364623,GOOD
2365413,GOOD
2370939,BAD
2377962,BAD
2379947,BAD
2380220,BAD
2380258,GOOD
2394379,GOOD
2395908,BAD
2397435,BAD
240476,BAD
2408188,BAD
2411205,BAD
2417683,BAD
2418273,GOOD
2418519,BAD
2419885,GOOD
2422330,GOOD
2424607,GOOD
2430473,BAD
2430843,GOOD
2430892,BAD
2432731,GREAT
2435684,GOOD
2435708,BAD
2436886,BAD
2439684,GREAT
2442413,BAD
2445006,BAD
2445715,BAD
2453244,BAD
2457131,BAD
2458869,BAD
2464138,BAD
2470605,BAD
2474081,BAD
2475854,BAD
2476759,GOOD
2476836,BAD
2495281,BAD
2499261,BAD
2504217,BAD
2504522,BAD
2505255,BAD
2512351,BAD
2530759,BAD
2533583,BAD
2537703,BAD
2543353,BAD
2547242,BAD
2548643,BAD
2550741,BAD
2554325,BAD
2569516,BAD
2580320,BAD
2580485,GOOD
2582595,BAD
2585482,BAD
2586647,GOOD
2593031,BAD
2596226,GOOD
2598647,GOOD
2599187,GOOD
2599387,BAD
2600707,BAD
2600935,GOOD
2601575,GOOD
2602133,GOOD
2602615,GOOD
2603960,OK
2606715,OK
2607610,BAD
2609813,GREAT
2610980,GOOD
2611162,OK
2611741,BAD
2611839,GOOD
2618411,BAD
2619173,GOOD
2620453,GOOD
2620711,OK
2620944,BAD
2622657,OK
2622753,GOOD
2623612,GOOD
2624105,BAD
2624890,BAD
2625741,GREAT
2629812,BAD
2638611,GOOD
2639421,BAD
2643481,GREAT
2643592,BAD
2645759,BAD
2645789,GOOD
2646690,BAD
2646899,OK
2653259,BAD
2653304,GREAT
2653865,GOOD
2655807,OK
2656472,GOOD
2656626,BAD
2657373,OK
2657626,OK
2657781,BAD
2659679,GOOD
2660355,OK
2661346,GOOD
2661522,BAD
2661644,GOOD
2661948,OK
2662621,BAD
2662811,BAD
2663197,BAD
2663247,OK
2663672,BAD
2664158,OK
2664468,BAD
2666159,OK
2666587,BAD
2667868,GOOD
2668050,BAD
2669031,GOOD
2670848,OK
2671257,OK
2672689,GOOD
2674321,BAD
2674952,GOOD
2675849,OK
2676002,OK
2676852,GOOD
2677410,OK
2678001,OK
2678052,BAD
2679042,GOOD
2680196,OK
2680547,OK
2681845,GOOD
2682004,OK
2682555,BAD
2683060,BAD
2683105,GOOD
2683270,GOOD
2683536,OK
2683576,GOOD
2683654,GREAT
2686001,GOOD
2686431,BAD
2687194,GOOD
2687381,BAD
2690052,BAD
2690567,GOOD
2690853,GOOD
2690974,GOOD
2691536,BAD
2692898,GOOD
2693472,GOOD
2693998,GOOD
2694474,BAD
2695620,BAD
2695842,GOOD
2697244,GOOD
2698657,BAD
2699017,GOOD
2699770,GOOD
2700027,BAD
2704122,GOOD
2704484,GOOD
2706928,BAD
2707232,BAD
2707413,GREAT
2707812,BAD
2709412,GOOD
2709694,BAD
2712781,BAD
2717801,BAD
2718908,BAD
2719269,BAD
2719910,GOOD
2720053,GOOD
2727480,BAD
2730416,OK
2730694,BAD
2730944,GOOD
2732756,OK
2734147,GOOD
2734816,BAD
2735491,GOOD
2736843,GOOD
2738975,OK
2739427,GOOD
2739758,BAD
2740119,BAD
2741177,BAD
2741490,GOOD
2742206,GOOD
2742492,BAD
2748793,OK
2750009,GOOD
2752590,GOOD
2753589,OK
2757022,OK
2758870,GOOD
2759146,GOOD
2761870,GREAT
2762434,BAD
2762481,OK
2763225,OK
2763312,GOOD
2763668,BAD
2764002,OK
2764104,BAD
2764978,GOOD
2767808,GOOD
2767980,BAD
2768336,GOOD
2768831,OK
2769635,BAD
2769750,OK
2769798,BAD
2770559,GOOD
2771118,BAD
2771617,OK
2774014,OK
2774789,OK
2775990,GOOD
2777748,OK
2778009,GOOD
2780248,BAD
2787214,BAD
2788411,GREAT
2797199,BAD
2802940,BAD
2805075,BAD
2806059,OK
2806074,BAD
2806908,GREAT
2807678,GOOD
2808624,BAD
2810060,BAD
2818158,BAD
2822401,GREAT
2824672,BAD
2827183,BAD
2831655,BAD
2838002,BAD
2848081,GOOD
2848622,OK
2850496,BAD
2850629,GOOD
285258,BAD
2854401,OK
2854863,GOOD
285579,BAD
2856222,BAD
2865965,BAD
2866237,GOOD
2866353,OK
2867088,GOOD
2869951,GOOD
2870723,BAD
2873682,BAD
2876126,BAD
2877047,BAD
2877615,BAD
2879541,OK
2881157,BAD
2885390,OK
2887751,BAD
2900688,OK
2900721,BAD
2900851,BAD
2903048,GOOD
2904566,GOOD
2907310,BAD
2907833,BAD
2914693,GOOD
2922872,GOOD
2923315,BAD
2930422,BAD
2946740,GOOD
2952985,BAD
2970652,GOOD
2978646,BAD
2980980,GOOD
2983716,BAD
2987850,OK
2989203,OK
2993121,GOOD
2994411,BAD
2995559,GREAT
2995849,GOOD
2998332,BAD
3003561,OK
3011059,GOOD
3012958,BAD
3014976,GOOD
3018294,BAD
3018354,BAD
3031907,BAD
3037446,BAD
3038906,BAD
3045487,BAD
3048884,GREAT
3051481,GREAT
3056035,BAD
3059449,GOOD
3063072,GOOD
3063306,GOOD
3063877,GOOD
3067717,GREAT
3073471,GOOD
3079561,BAD
3087208,GOOD
3087212,GOOD
3087500,GOOD
3088761,GOOD
3091813,GOOD
3092459,BAD
3094079,BAD
3106331,BAD
3109416,GOOD
3111376,BAD
3129583,GREAT
3130182,BAD
3133550,GOOD
3138788,BAD
3138977,GOOD
3141737,BAD
3142729,BAD
3159730,BAD
3160317,GOOD
3163973,BAD
3164226,GOOD
3164714,GOOD
3165845,BAD
3177601,BAD
3179543,GOOD
