dot_number,company_fit_score
77512,0.7
210726,0.7
211178,0.7
222371,0.7
285579,0.7
420403,0.7
446956,0.7
500447,0.7
545169,0.7
604989,0.7
618410,0.7
625429,0.7
629029,0.7
658424,0.7
683431,0.7
741999,0.7
759281,0.7
798666,0.7
856154,0.7
872674,0.7
890725,0.7
893568,0.7
947444,0.7
961805,0.7
967650,0.7
1032413,0.7
1039122,0.7
1050762,0.7
1056250,0.7
1090623,0.7
1092701,0.7
1092993,0.7
1093164,0.7
1099317,0.7
1101107,0.7
1108774,0.7
1109515,0.7
1109941,0.7
1111712,0.7
1114373,0.7
1142355,0.7
1143052,0.7
1145615,0.7
1146617,0.7
1146879,0.7
1150925,0.7
1153345,0.7
1157155,0.7
1169496,0.7
1184736,0.7
1229630,0.7
1233381,0.7
1240807,0.7
1260765,0.7
1261235,0.7
1278837,0.7
1284668,0.7
1286846,0.7
1333819,0.7
1419124,0.7
1420534,0.7
1437456,0.7
1452698,0.7
1456070,0.7
1468506,0.7
1524189,0.7
1552683,0.7
1561829,0.7
1567493,0.7
1595005,0.7
1603546,0.7
1607315,0.7
1614219,0.7
1625476,0.7
1628810,0.7
1654460,0.7
1671558,0.7
1682485,0.7
1702384,0.7
1703088,0.7
1733877,0.7
1734370,0.7
1763413,0.7
1775387,0.7
1775530,0.7
1785650,0.7
1789242,0.7
1793483,0.7
1839191,0.7
1857534,0.7
1859801,0.7
1864920,0.7
1875197,0.7
1884166,0.7
1898750,0.7
1899006,0.7
1920442,0.7
1926033,0.7
1933089,0.7
1938812,0.7
1939761,0.7
1941739,0.7
1950309,0.7
1955556,0.7
1962554,0.7
1970979,0.7
1971273,0.7
1977959,0.7
1978620,0.7
1985989,0.7
1993143,0.7
1994733,0.7
2017799,0.7
2030937,0.7
2034798,0.7
2039495,0.7
2044517,0.7
2045183,0.7
2051205,0.7
2066687,0.7
2068049,0.7
2069973,0.7
2071334,0.7
2081814,0.7
2086148,0.7
2090262,0.7
2113537,0.7
2125362,0.7
2126315,0.7
2128344,0.7
2138754,0.7
2138966,0.7
2147002,0.7
2154826,0.7
2176782,0.7
2187466,0.7
2196702,0.7
2199199,0.7
2208946,0.7
2255844,0.7
2260110,0.7
2264487,0.7
2302058,0.7
2328601,0.7
2333247,0.7
2341632,0.7
2364623,0.7
2365413,0.7
2370939,0.7
2379947,0.7
2394379,0.7
2408188,0.7
2418273,0.7
2418519,0.7
2422330,0.7
2430473,0.7
2439684,0.7
2442413,0.7
2457131,0.7
2458869,0.7
2475854,0.7
2476836,0.7
2504217,0.7
2504522,0.7
2543353,0.7
2548643,0.7
2550741,0.7
2569516,0.7
2582595,0.7
2585482,0.7
2586647,0.7
2593031,0.7
2598647,0.7
2599387,0.7
2600935,0.7
2601575,0.7
2602133,0.7
2602615,0.7
2609813,0.7
2619173,0.7
2620944,0.7
2622753,0.7
2624105,0.7
2629812,0.7
2643481,0.7
2643592,0.7
2645759,0.7
2646690,0.7
2653259,0.7
2653865,0.7
2656472,0.7
2656626,0.7
2657781,0.7
2659679,0.7
2661346,0.7
2662811,0.7
2666587,0.7
2668050,0.7
2672689,0.7
2674321,0.7
2674952,0.7
2676852,0.7
2678052,0.7
2679042,0.7
2681845,0.7
2682555,0.7
2683060,0.7
2683105,0.7
2683576,0.7
2683654,0.7
2686001,0.7
2686431,0.7
2687194,0.7
2690052,0.7
2690567,0.7
2690974,0.7
2691536,0.7
2692898,0.7
2693472,0.7
2693998,0.7
2695620,0.7
2697244,0.7
2698657,0.7
2699017,0.7
2700027,0.7
2704122,0.7
2707232,0.7
2707812,0.7
2712781,0.7
2718908,0.7
2719269,0.7
2727480,0.7
2730694,0.7
2730944,0.7
2734147,0.7
2734816,0.7
2735491,0.7
2739427,0.7
2740119,0.7
2752590,0.7
2759146,0.7
2762434,0.7
2763312,0.7
2763668,0.7
2764104,0.7
2764978,0.7
2767808,0.7
2768336,0.7
2769635,0.7
2769798,0.7
2770559,0.7
2774014,0.7
2775990,0.7
2780248,0.7
2802940,0.7
2805075,0.7
2806074,0.7
2807678,0.7
2810060,0.7
2822401,0.7
2824672,0.7
2827183,0.7
2848081,0.7
2850629,0.7
2856222,0.7
2865965,0.7
2866237,0.7
2867088,0.7
2876126,0.7
2877047,0.7
2887751,0.7
2900721,0.7
2900851,0.7
2907833,0.7
2923315,0.7
2946740,0.7
2978646,0.7
2980980,0.7
2983716,0.7
2994411,0.7
2998332,0.7
3011059,0.7
3014976,0.7
3018294,0.7
3045487,0.7
3056035,0.7
3063306,0.7
3063877,0.7
3067717,0.7
3079561,0.7
3087212,0.7
3087500,0.7
3088761,0.7
3091813,0.7
3129583,0.7
3133550,0.7
3138788,0.7
3138977,0.7
3141737,0.7
3142729,0.7
3163973,0.7
3164226,0.7
3165845,0.7
3177601,0.7
3185115,0.7
3186547,0.7
3210029,0.7
3217495,0.7
3218846,0.7
3220124,0.7
3227012,0.7
3229166,0.7
3233405,0.7
3236490,0.7
3240058,0.7
3245343,0.7
3247672,0.7
3247855,0.7
3249577,0.7
3251904,0.7
3254709,0.7
3261152,0.7
3263476,0.7
3272559,0.7
3274004,0.7
3274474,0.7
3276499,0.7
3278583,0.7
3281523,0.7
3286327,0.7
3294286,0.7
3307859,0.7
3313354,0.7
3315327,0.7
3319539,0.7
3321610,0.7
3325187,0.7
3326371,0.7
3332652,0.7
3333987,0.7
3348269,0.7
3354254,0.7
3355456,0.7
3359214,0.7
3362271,0.7
3362281,0.7
3407529,0.7
3409350,0.7
3423320,0.7
3430209,0.7
3435289,0.7
3449384,0.7
3459166,0.7
3462936,0.7
3469330,0.7
3473767,0.7
3475927,0.7
3476740,0.7
3479590,0.7
3489741,0.7
3492952,0.7
3493401,0.7
3496502,0.7
3501936,0.7
3502698,0.7
3503189,0.7
3505689,0.7
3509976,0.7
3516778,0.7
3520610,0.7
3534822,0.7
3537836,0.7
3540467,0.7
3541519,0.7
3546294,0.7
3547622,0.7
3556121,0.7
3563167,0.7
3575974,0.7
3598096,0.7
3599315,0.7
3604156,0.7
3604547,0.7
3611650,0.7
3612893,0.7
3618917,0.7
