dot_number,expert_label,binary_label
1018556,BAD,BAD
1032413,BAD,BAD
1039122,OK,GOOD
1041177,GOOD,GOOD
1050762,BAD,BAD
1056250,BAD,BAD
1067299,GOOD,GOOD
1068840,GOOD,GOOD
1088554,BAD,BAD
1090623,BAD,BAD
1092701,BAD,BAD
1092993,GOOD,GOOD
1093164,GOOD,GOOD
1094035,GOOD,GOOD
1099317,BAD,BAD
1101107,BAD,BAD
1104018,BAD,BAD
1105738,GOOD,GOOD
1107584,BAD,BAD
1108774,GOOD,GOOD
1109515,GOOD,GOOD
1109941,BAD,BAD
1111712,GOOD,GOOD
1113726,GOOD,GOOD
1114373,GOOD,GOOD
1142355,BAD,BAD
1143052,BAD,BAD
1145615,BAD,BAD
1146617,BAD,BAD
1146879,GREAT,GOOD
1150925,GREAT,GOOD
1153345,BAD,BAD
1157155,GOOD,GOOD
1169496,GOOD,GOOD
1169995,BAD,BAD
1172147,BAD,BAD
1174747,BAD,BAD
1175507,BAD,BAD
1184736,BAD,BAD
1202775,GOOD,GOOD
1229630,BAD,BAD
1233381,BAD,BAD
1240807,OK,GOOD
1260765,BAD,BAD
1261235,GREAT,GOOD
1278837,GOOD,GOOD
1280939,BAD,BAD
1284668,BAD,BAD
1286846,BAD,BAD
1333819,GOOD,GOOD
1352991,BAD,BAD
1362161,GOOD,GOOD
1392096,BAD,BAD
1419124,BAD,BAD
1420534,BAD,BAD
1437456,GOOD,GOOD
1452698,BAD,BAD
1456070,BAD,BAD
1468506,GOOD,GOOD
1479862,BAD,BAD
1480680,BAD,BAD
1490918,BAD,BAD
1505688,GOOD,GOOD
1511127,BAD,BAD
1524169,GREAT,GOOD
1524189,BAD,BAD
1549524,BAD,BAD
1552683,BAD,BAD
1561829,BAD,BAD
1567493,BAD,BAD
1580791,GOOD,GOOD
1586028,BAD,BAD
1594617,BAD,BAD
1595005,GOOD,GOOD
1603546,BAD,BAD
1607315,GOOD,GOOD
1614219,BAD,BAD
1625476,BAD,BAD
1628810,GOOD,GOOD
1641864,GOOD,GOOD
1654460,GOOD,GOOD
1660955,BAD,BAD
1666928,OK,GOOD
1671558,OK,GOOD
1676172,GOOD,GOOD
1682485,BAD,BAD
1696144,GOOD,GOOD
1699872,BAD,BAD
1702384,BAD,BAD
1703088,BAD,BAD
1706226,BAD,BAD
1727022,BAD,BAD
1733877,GOOD,GOOD
1734370,BAD,BAD
1743424,OK,GOOD
1747453,GREAT,GOOD
1754891,BAD,BAD
1761301,BAD,BAD
1763413,GOOD,GOOD
1765638,OK,GOOD
1775387,BAD,BAD
1775530,BAD,BAD
1785650,GOOD,GOOD
1789242,BAD,BAD
1793483,BAD,BAD
1801610,GOOD,GOOD
1821540,BAD,BAD
1829266,GOOD,GOOD
1834058,BAD,BAD
1839191,BAD,BAD
1840181,GOOD,GOOD
1842644,GOOD,GOOD
1844606,BAD,BAD
1846962,BAD,BAD
1857534,BAD,BAD
1859801,GOOD,GOOD
1864920,BAD,BAD
1866578,GREAT,GOOD
1875197,OK,GOOD
1877347,BAD,BAD
1878717,GOOD,GOOD
1879744,GOOD,GOOD
1881346,BAD,BAD
1881510,BAD,BAD
1882698,BAD,BAD
1883823,BAD,BAD
1884166,BAD,BAD
1898750,BAD,BAD
1899006,BAD,BAD
1920442,OK,GOOD
1921938,BAD,BAD
1926033,BAD,BAD
1933089,GOOD,GOOD
1934431,BAD,BAD
1938812,BAD,BAD
1939761,OK,GOOD
1941739,GREAT,GOOD
1942298,BAD,BAD
1945842,GREAT,GOOD
1946880,BAD,BAD
1949987,BAD,BAD
1950309,BAD,BAD
1955556,BAD,BAD
1962554,BAD,BAD
1963374,GOOD,GOOD
1968197,BAD,BAD
1970979,BAD,BAD
1971273,GOOD,GOOD
1974758,BAD,BAD
1975160,GREAT,GOOD
1975662,BAD,BAD
1977959,BAD,BAD
1978620,BAD,BAD
1982713,BAD,BAD
1982809,BAD,BAD
1985989,GOOD,GOOD
1993143,BAD,BAD
1994733,GREAT,GOOD
1996570,GOOD,GOOD
2006396,BAD,BAD
2017799,BAD,BAD
2024136,BAD,BAD
2028114,BAD,BAD
2030937,GOOD,GOOD
2034798,GREAT,GOOD
2037772,GOOD,GOOD
2039495,BAD,BAD
2039809,BAD,BAD
2044517,BAD,BAD
2045062,GOOD,GOOD
2045183,BAD,BAD
2049575,BAD,BAD
2051205,BAD,BAD
2055152,BAD,BAD
2058498,BAD,BAD
2059407,GOOD,GOOD
2066687,GREAT,GOOD
2068049,BAD,BAD
2068475,GREAT,GOOD
2069973,BAD,BAD
2071334,GOOD,GOOD
2076353,BAD,BAD
2078177,BAD,BAD
207948,BAD,BAD
2081814,GOOD,GOOD
2086148,BAD,BAD
2090262,BAD,BAD
2104966,BAD,BAD
2105044,BAD,BAD
210726,GOOD,GOOD
211178,GOOD,GOOD
2113537,GOOD,GOOD
2113899,OK,GOOD
2125362,BAD,BAD
2126315,BAD,BAD
2128344,BAD,BAD
2133121,BAD,BAD
2138690,GOOD,GOOD
2138754,BAD,BAD
2138966,BAD,BAD
2144052,BAD,BAD
2147002,BAD,BAD
2149821,BAD,BAD
2154826,BAD,BAD
2176782,GOOD,GOOD
2185115,GOOD,GOOD
2186662,BAD,BAD
2187466,GOOD,GOOD
2196702,BAD,BAD
2199199,BAD,BAD
2208946,OK,GOOD
222371,OK,GOOD
2254358,BAD,BAD
2255844,BAD,BAD
2260110,BAD,BAD
2264487,BAD,BAD
2269365,BAD,BAD
2274029,GREAT,GOOD
2302058,BAD,BAD
2313262,BAD,BAD
2328601,BAD,BAD
2333247,BAD,BAD
2341632,GOOD,GOOD
2343162,OK,GOOD
2346284,BAD,BAD
2364623,GOOD,GOOD
2365413,GOOD,GOOD
2370939,BAD,BAD
2377962,BAD,BAD
2379947,BAD,BAD
2380220,BAD,BAD
2380258,GOOD,GOOD
2394379,GOOD,GOOD
2395908,BAD,BAD
2397435,BAD,BAD
240476,BAD,BAD
2408188,BAD,BAD
2411205,BAD,BAD
