dot_number,company_quality_score,legitimacy_score,metrics_score,freshness_score,target_fit_score,key_concerns,reasoning_summary
1261235,0.15,5,5,0,5,"['Non-trucking business type', 'Ancient MCS-150 data', 'Zero recent mileage', 'Private property only, not authorized for hire']","This company is likely a tile supply business rather than a trucking company, indicated by its name and 'private_only' flag. The MCS-150 data is ancient, and there is no recent mileage reported, suggesting dormancy. It does not fit the target profile for active for-hire trucking operations."
3138788,0.15,5,15,15,5,"['Non-trucking business identified (landscaping/pools)', 'Not authorized for hire, operates private property only', 'Does not operate in priority states']","This company is primarily identified as a landscaping and pool business, not a trucking operation. While it has a recent MCS-150 date and a small fleet, it is not authorized for hire and does not operate in the target states, making it a poor fit for DrivePoints insurance targeting."
4281742,0.35,15,5,25,5,"['Fleet size is 0 power units, making operations impossible.', 'Location is in Florida, outside priority states.', 'Extremely low mileage reported, inconsistent with active operation.', 'Email address suggests a different industry (timber).']","This company has a professional name and recent data, but critical operational metrics are highly implausible, specifically zero power units and minimal mileage. Its location in Florida and email address also indicate it's not a fit for our target profile."
2408188,0.15,15,5,25,5,"['Private carrier only, not authorized for hire.', 'Very low reported mileage, potentially indicating inactivity or a very small operation.']","This company is a legitimate sole proprietorship with recent data. However, it operates as a private carrier only and reports extremely low mileage, making it a poor fit for DrivePoints' target profile which focuses on for-hire trucking operations. The extremely low mileage also raises questions about its operational scale and recency."
2668050,0.45,15,5,5,20,"['MCS-150 data is missing, making it impossible to assess operational metrics and data freshness accurately.', 'No mileage data available, raising concerns about recent activity and operational scale.', 'Fleet size (nbr_power_unit) is missing.']","This record represents a sole proprietor with a professional name operating in a priority state and authorized for hire, which fits some target criteria. However, critical data points like MCS-150 date, mileage, and fleet size are missing or zero, severely impacting the assessment of operational plausibility and data freshness. The absence of this core data makes it difficult to confidently score this company."
1419124,0.3,15,10,5,5,"['MCS-150 date is very old (2005)', 'Private carrier only, not authorized for hire', 'Company is located outside priority states']","This is a sole proprietorship which is acceptable, but the MCS-150 data is extremely stale, dating back to 2005. The company operates as a private carrier only, not for hire, and its Wisconsin location does not align with priority states, making it a poor fit for DrivePoints targeting."
1939761,0.15,10,0,0,5,"[""Business name 'NEWMAN CONCRETE' suggests a focus on construction materials, not general trucking."", 'MCS-150 date is over 16 years old, indicating very stale data.', 'Recent mileage is 0, and MCS-150 mileage is 0, suggesting no recent or current operations.', ""Carrier operation is 'C' (Carrier), but flags indicate it's not authorized for hire, and is exempt for hire or private passenger business, not a typical for-hire trucking operation.""]","This company has a highly questionable business legitimacy due to its name suggesting a concrete business and its operational flags indicating it's not a standard for-hire carrier. The data is extremely stale, with no recent operational mileage, making it an invalid prospect for DrivePoints insurance targeting."
1985989,0.05,5,5,0,0,"['Business name ""JL WELDING"" is not clearly a trucking company.', 'MCS150 date is extremely stale (2010).', 'Private carrier only and not authorized for hire.', 'Located in Colorado (not a priority state).']","JL WELDING's name suggests it's not primarily a trucking operation. The data is severely outdated, with an MCS150 filing from 2010, and recent mileage is zero, indicating it's likely defunct or inactive. Furthermore, it operates as a private carrier only and is not located in a priority state, failing all target fit criteria."
1734370,0.35,15,5,25,5,"['Not authorized for hire', 'Private carriage only', 'Not located in a priority state']","This company has a professional name and appears legitimate, with recent MCS data, indicating good data freshness. However, it operates exclusively as private carriage and is not located in a priority state, significantly reducing its target fit. The extremely low driver-to-truck ratio and low mileage raise concerns about operational plausibility."
2734147,0.38,10,0,5,15,"['No MCS-150 data or mileage available.', 'Driver and power unit counts are missing, making operational plausibility impossible to assess.', ""Carrier operation code 'C' indicates a contract carrier, which might not align with our target for hire operation.""]","The company's name suggests a legitimate business, but crucial operational and freshness data (MCS-150, mileage, fleet size) is missing, preventing a proper assessment of operational plausibility. While located in a priority state (CA) and authorized for hire with a small driver count, the lack of data significantly impacts its quality score."
4328741,0.3,15,5,25,5,"['Fleet size significantly exceeds target range.', 'Driver to truck ratio is extremely low.', 'Operates outside of priority states.']","This company has a recent MCS-150 date, indicating data freshness. However, its large fleet size (73 trucks) and extremely low driver-to-truck ratio (0.11) are major operational implausibilities. Furthermore, the company is based in Alabama, outside of our priority states, and does not fit the ideal fleet size for our target."
4375909,0.92,25,25,25,17,[],"LISANDRE TRUCKING SERVICES LLC is a legitimate, active trucking company operating in a priority state (TX) with a small fleet size of 1 truck. Their data is very fresh, showing recent mileage and MCS-150 updates, and their operational metrics are plausible. While they are authorized for hire, the lack of specific detail on their cargo type means they might not be exclusively Class 6 furniture delivery, hence the deduction in target fit."
3492952,0.64,20,20,25,10,"['Physical and mailing addresses are in IL, not a priority state.', 'MCS-150 mileage is extremely high for a single truck.']","ADOMY TRUCKING LLC appears to be a legitimate, active trucking company with recent data updates and a small fleet. However, its physical location in Illinois does not align with our priority states, and the reported mileage for its single truck seems implausibly high."
4216182,0.0,5,0,25,0,"['Company name suggests limousine services, not trucking.', 'Zero power units listed.', 'Does not operate in priority states and fleet size is too small.']","This company is flagged for legitimacy concerns due to its name suggesting limousine services rather than trucking. The operational metrics are highly implausible, with zero power units and a single driver, contradicting any trucking operation. While data freshness is good, the company is not a target fit due to its location and lack of a trucking fleet."
222371,0.15,15,0,0,5,"['No MCS-150 date or mileage, company appears inactive or very old.', 'Exempt for hire and private property carriage; not authorized for hire.', 'Not in a priority state.']","This company, BERNARD ESSER, appears to be a sole proprietor with minimal operational data, lacking a recent MCS-150 filing. The operational metrics are non-existent, and the carriage type is exempt/private, not authorized for hire. Furthermore, it operates outside of the priority states and has a small fleet size, making it a poor fit for DrivePoints."
3142729,0.45,15,10,5,15,"['mcs150_date is from 2020, which is older than ideal.', 'Recent mileage is 0, suggesting no recent activity.', 'Private only operation, not authorized for hire.']","This company has a professional name and appears to be a legitimate trucking operation, but the data is somewhat stale with the last MCS150 date being in 2020. Their operational metrics are a bit unusual with more drivers than trucks and no reported recent mileage, and they are a private carrier, not authorized for hire, limiting their fit for our target profile."
3667007,0.71,25,25,25,21,[],"This company appears to be a legitimate, small trucking operation with recent and plausible operational data. Its target fit is good, though its primary operating state is not a priority."
4460092,0.15,15,5,25,5,"['Located in Puerto Rico, not a priority state.', 'No recent mileage data provided.', ""Carrier operation code 'C' is unclear, could be private carriage.""]","This is a sole proprietor in Puerto Rico, which is not a priority state. While the MCS-150 date is recent, the lack of mileage data and unclear carrier operation code raise concerns. The company meets the fleet size and authorization criteria but fails on location and operational data."
3249577,0.45,15,5,5,15,"['Stale MCS-150 date', 'Zero recent mileage reported', 'Not in a priority state']","DVX LLC appears to be a legitimate, small trucking operation with one truck and one driver. However, the data is quite stale, with the MCS-150 date from 2019, and zero recent mileage reported, raising concerns about current operational status. The company is also located in Colorado, which is not one of our priority states."
1595005,0.15,15,5,5,5,"['MCS-150 date is ancient (2007)', 'MCS-150 mileage is extremely high for fleet size', 'Company is located in Georgia, which is not a priority state']","This company has a plausible name but the data is extremely stale, with the last update in 2007. The reported mileage is highly suspect given the single power unit, and the location is not a priority state. Overall, this record indicates a defunct or outdated operation with little relevance to the target profile."
