dot_number,company_name,classification,key_concerns,reasoning_summary
1261235,ROMA TILE SUPPLY OF BOCA RATON INC,BAD,"['Private carrier with no clear delivery/logistics operations', 'Inactive or outdated operational data (MCS-150 2004)', 'Likely not a trucking company, likely a supplier with delivery']","Classified as BAD due to outdated operational data, lack of clear for-hire or delivery/logistics operations, and likely being a supplier rather than a trucking company."
3138788,STEELE'S SINGAUTRE POOLS LLC,BAD,"['Excluded state NJ', 'Not a trucking company']","Classified as BAD due to operating in an excluded state (NJ) and the company's primary business appears to be landscaping/pool services, not freight/delivery trucking."
4281742,EL SUERTE LLC,BAD,['No operational power units listed (nbr_power_unit = 0)'],"Classified as BAD due to lack of listed operational power units, indicating no active trucking fleet."
2408188,RUSSELL FARMS,BAD,"['Agriculture-only cargo type', 'Private carrier with no stated delivery/logistics operations']","Classified as BAD due to likely agriculture-only cargo and being a private carrier without stated delivery or logistics operations, indicating it is not a freight trucking company."
2668050,GREGORY J MCCOY,BAD,"['Defunct, inactive, or missing operational data']","The record indicates missing operational data, specifically the MCS-150 date, which is a hard exclusion."
1419124,MICHAEL J MCCORMICK,BAD,"['MCS-150 date is outdated (2005)', 'No recent mileage reported', 'Carrier is private only and operates with 1 driver and 0 power units, indicating potential non-trucking operations or defunct status.']","The carrier's MCS-150 filing date is from 2005, and there is no recent mileage reported, suggesting the operation is defunct or inactive. It is also designated as private only with limited fleet information."
1939761,NEWMAN CONCRETE,BAD,"['Cargo type outside freight/delivery trucking', 'Not authorized for-hire and operated for private passenger business']","Classified as BAD due to operating for private passenger business and not being authorized for-hire, indicating it's not a freight trucking company."
1985989,JL WELDING,BAD,"['Not a trucking company', 'Missing operational data', 'Lack of recent activity']",JL WELDING is classified as BAD due to its name suggesting it is not a trucking company and its MCS-150 date from 2010 indicates a severe lack of recent operational data.
1734370,CHU CONTRACTING INC,BAD,"['Interstate operation', 'Not a trucking company (construction-related)', 'Private carrier with no stated delivery/logistics operations']","Classified as BAD due to interstate operation, likely being a construction-focused company, and lacking clear for-hire or private delivery/logistics operations."
2734147,CORPORATE BUSINESS INTERIORS INC,BAD,"['Defunct, inactive, or missing operational data', 'Cargo type clearly outside freight/delivery trucking (e.g., passenger-only, waste-only, recovery-only)']",Classified as BAD due to missing operational data (MCS-150 date and mileage) and the company name suggesting it is not a general freight trucking operation.
