dot_number,company_quality_score,legitimacy_score,metrics_score,freshness_score,target_fit_score,key_concerns,reasoning_summary
1261235,0.55,25,15,0,15,"['Extremely stale data (last MCS-150 update in 2004).', 'Zero recent mileage, indicating likely inactive or defunct status.', 'Physical location (Florida) is outside of priority states.']","ROMA TILE SUPPLY is a legitimate business operating as a private carrier with a single truck, which partially aligns with our fleet size target. However, its data is ancient (2004) with no recent mileage reported, strongly suggesting it is no longer active. The company is also located outside our priority states."
3138788,0.2,0,5,15,0,"['Not a trucking business (operates as a landscaping/pool company)', 'Zero recent mileage reported', 'Extremely low annual mileage per truck (5,000 miles/truck/year)', 'Not located in a priority state']","This entity is primarily a landscaping/pool business, which does not align with our target of active Class 6 trucking companies. Key operational concerns include zero recent mileage and extremely low annual mileage per truck. Additionally, the company is not located in any of our priority states, making it a poor fit for DrivePoints insurance."
4281742,0.3,25,0,0,5,"['Zero power units (0 trucks) makes operational metrics impossible.', 'Extremely low mileage (1 mile) indicates no active trucking operation.', 'Company is not located in a priority state.', 'Fleet size (0 trucks) does not fall within target range (1-50).']","EL SUERTE LLC appears to be a legitimate entity with a recent MCS-150 update. However, it reports zero power units and only 1 mile of activity, making its operational plausibility and data freshness for activity extremely poor. The company is also located outside our priority states and lacks the target fleet size, aligning poorly with our ideal customer profile."
2408188,0.6,15,5,25,15,"['Extremely low mileage (175 miles/truck/year) suggests minimal or misreported activity.', 'Company is located outside of our priority states (OK).', ""DBA name 'RUSSELL FARMS' may indicate primary business is not dedicated trucking.""]","This is a legitimate private carrier with up-to-date data. However, the reported mileage is implausibly low, suggesting very limited operational activity. The company is also outside of our priority states and its 'RUSSELL FARMS' DBA might indicate trucking is not its primary business, which could impact fit for Class 6 last-mile insurance."
2668050,0.15,15,0,0,0,"['Company appears entirely inactive (0 recent mileage, null power units, null MCS-150 date).', 'Lack of operational data prevents assessment of fleet size and activity levels.', ""Does not fit the 'Active Class 6 trucking' target profile.""]","GREGORY J MCCOY, while a legitimate sole proprietor, is highly unsuitable due to complete inactivity. With 0 recent mileage, null power units, and a missing MCS-150 date, this entity does not meet the fundamental requirement of being an ""Active Class 6 trucking"" target for DrivePoints insurance, making it a poor match."
1419124,0.2,15,0,0,5,"['Extremely stale data (mcs150_date from 2005).', 'Zero recent mileage, indicating inactivity or defunct status.', 'Missing number of power units, preventing assessment of fleet size and operational metrics.', 'Company is not located in a priority state.']","While ""MICHAEL J MCCORMICK"" appears to be a legitimate private carrier, its data is extremely stale with the last MCS150 update in 2005 and zero recent mileage, strongly suggesting it's no longer active. The absence of a power unit count makes operational assessment impossible. Furthermore, its location in Wisconsin does not align with our priority states, leading to a very low overall score."
1939761,0.2,15,5,0,0,"['Business type (concrete hauling) does not match target (last-mile, furniture delivery).', 'MCS-150 date is extremely stale (2009).', 'Zero recent mileage reported, indicating severe inactivity.', 'Not located in a priority state (AL vs CA, TX, AZ, UT, NV).']","RANDALL NEWMAN dba NEWMAN CONCRETE is a small, single-truck exempt for-hire carrier. However, its MCS-150 date is ancient (2009) and there is no recent mileage, suggesting significant inactivity or obsolescence. Crucially, the business type (concrete hauling) and location (Alabama) are a poor fit for our target of active Class 6 last-mile/furniture delivery in priority states."
1985989,0.35,5,15,0,15,"[""Business name 'JL WELDING' suggests a non-trucking primary operation."", 'Data is extremely stale (MCS150 date 2010) and shows zero recent activity.', 'Not located in a priority state (CO instead of CA, TX, AZ, UT, NV).']","JL WELDING appears to be a welding business rather than a dedicated trucking company, making its primary operation unclear for our target. The data is ancient from 2010 with zero recent mileage, strongly indicating the company is defunct or inactive. While its single truck falls within our fleet size range and it's a private carrier, its location and data freshness are significant drawbacks."
1734370,0.8,25,15,25,15,"['Company is located outside priority states (Virginia).', 'Lower than ideal miles per truck per year (15,000 vs 45K-120K normal).', 'Lower than ideal driver to truck ratio (0.5 vs 0.8-1.5 normal).']","CHU CONTRACTING INC scores well on business legitimacy and data freshness with a recent MCS-150 update. However, its operational metrics show lower-than-ideal miles per truck and driver-to-truck ratio. The company is located outside our priority states, but its small fleet size (2 trucks) and private carrier status are partially aligned with our target profile."
2734147,0.05,5,0,0,0,"['Company name (CORPORATE BUSINESS INTERIORS INC) does not clearly indicate a primary trucking operation.', 'Missing critical operational data for power units, making operational assessment impossible.', 'Data is extremely stale (MCS150 date null, add date over 10 years old) and recent mileage is zero, indicating inactivity.', ""Fails multiple 'avoid' criteria: likely defunct, non-trucking primary business, and stale data.""]","This company scores very low due to its name suggesting a non-trucking primary business and the complete lack of operational data for power units and mileage. Data freshness is a major concern, with the record being over 10 years old and showing no recent activity. Overall, the company appears to be inactive or defunct and does not fit the ideal customer profile."
