dot_number,company_name,classification,key_concerns,reasoning_summary
1261235,ROMA TILE SUPPLY OF BOCA RATON INC,BAD,"['Defunct, inactive, or missing operational data']","The MCS-150 date is from 2004 and recent mileage is 0, indicating the company is inactive or defunct."
3138788,STEELE'S SINGAUTRE POOLS LLC,BAD,"['Excluded state NJ', 'Not a dedicated trucking company (landscaping/pool services)']",Fails multiple hard exclusions for operating in the excluded state of NJ and appearing to be a landscaping/pool company rather than a dedicated trucking operation.
4281742,EL SUERTE LLC,BAD,"['Missing operational data (0 power units)', 'Not actively operating as a trucking company']","The company reports 0 power units and only 1 mile of activity for 2023, indicating it is not actively operating as a trucking company and lacks essential operational data."
2408188,RUSSELL FARMS,BAD,['Not a trucking company (farming-only)'],"The company's DBA name 'RUSSELL FARMS' combined with its 'private_only' and 'private_property' carrier type indicates it is primarily a farming operation, not a general trucking company, thus falling under a hard exclusion."
2668050,GREGORY J MCCOY,BAD,"['Missing MCS-150 data', 'No reported power units', 'Zero recent mileage']","The company lacks critical operational data, including a missing MCS-150 filing, no reported power units, and zero recent mileage, indicating it is inactive or provides insufficient data for classification."
1419124,MICHAEL J MCCORMICK,BAD,"['Defunct, inactive, or missing operational data']","The MCS-150 date is from 2005, indicating the company is inactive or defunct, and fleet size data is missing."
1939761,NEWMAN CONCRETE,BAD,"['Defunct, inactive, or missing operational data']","Fails hard exclusion due to very old MCS-150 date (2009) and zero mileage, indicating inactivity."
1985989,JL WELDING,BAD,"['Defunct, inactive, or missing operational data', 'Not a dedicated trucking company']","Fails hard exclusions due to an MCS-150 date from 2010 and zero recent mileage, indicating inactivity, and its name suggests it's primarily a welding business, not a dedicated trucking company."
1734370,CHU CONTRACTING INC,BAD,['Interstate operation'],Fails hard exclusion for interstate operation.
2734147,CORPORATE BUSINESS INTERIORS INC,BAD,"['Defunct, inactive, or missing operational data', 'Not a legitimate trucking company (name suggests other business, no fleet/mileage)']","Company has no recent activity, missing key operational data (MCS-150 date, power units, mileage), and its name 'Corporate Business Interiors Inc' strongly suggests it is not primarily a trucking company."
4328741,DOLLZ ON THE GO,BAD,"['Inactive or missing operational data (zero recent mileage for 73 power units)', 'Highly implausible operational metrics (0.11 driver/truck ratio and zero miles per truck)']","Fails hard exclusion due to inactive status or missing critical operational data, evidenced by zero recent mileage for 73 power units and highly implausible driver and mileage metrics."
4375909,LISANDRE TRUCKING SERVICES LLC,BAD,['Interstate operation'],Fails hard exclusion due to interstate operation (carrier_operation 'A').
3492952,ADOMY TRUCKING LLC,BAD,['Interstate operation'],Fails hard exclusion for interstate operation (carrier_operation = 'A').
4216182,H2 LIMOUSINE SERVICES LLC,BAD,"['Interstate operation', 'Not a trucking company (limousine service)', 'Missing operational data (0 power units)']","Fails multiple hard exclusions: operates interstate, is not a trucking company (limousine service), and reports 0 power units which is inconsistent with an authorized-for-hire carrier."
222371,BERNARD ESSER,BAD,"['Defunct, inactive, or missing operational data']","Fails hard exclusion due to null MCS-150 date and zero mileage reported for all periods, indicating inactive or missing operational data."
3142729,J C HIMMELRICK INC,BAD,"['Outdated MCS-150 filing (June 2020)', 'Zero recent mileage reported', 'Implausibly low historical mileage']","Classified as BAD due to an outdated MCS-150 filing from 2020 and zero recent mileage, indicating the company is inactive or has missing operational data, which is a hard exclusion."
3667007,A&A TRANSPORTATION CORP,BAD,['Interstate operation'],"Fails hard exclusion due to interstate operation (carrier_operation = ""A"")."
4460092,PEDRO MORALES,BAD,['Excluded state PR'],Fails exclusion: company is based in Puerto Rico.
3249577,DVX LLC,BAD,"['Defunct, inactive, or missing operational data']","The company is classified as BAD due to an outdated MCS-150 filing date (2019) and no recent mileage reported, indicating it is likely inactive or defunct."
1595005,HINSON TRUCKING,BAD,"['Defunct, inactive, or missing operational data (MCS-150 filing from 2007, zero recent mileage)', 'Implausible historical mileage data (759,589 miles for 1 truck in 2007)']","The company is inactive with an MCS-150 filing date from 2007 and zero recent mileage, which is a hard exclusion; its historical mileage data is also implausible."
3901056,GAUS AND COMPANY LAWN CARE,BAD,"['Interstate operation', 'Not a trucking company (Lawn Care)']","Fails multiple exclusions: interstate operation and identified as a lawn care company, not primarily a trucking company."
