dot_number,company_name,classification,key_concerns,reasoning_summary
1261235,ROMA TILE SUPPLY OF BOCA RATON INC,BAD,"['Defunct, inactive, or missing operational data']","Classified as bad due to extremely outdated operational data from 2004 and zero recent mileage, indicating the carrier is likely inactive."
3138788,STEELE'S SINGAUTRE POOLS LLC,BAD,"['Excluded state NJ', 'Not primarily a trucking company (landscaping/pool construction)']","The company is based in the excluded state of NJ and its name indicates it is a landscaping or pool company, not a trucking operation."
4281742,EL SUERTE LLC,BAD,"['Defunct, inactive, or missing operational data', 'Implausible metrics (0 trucks for 2 drivers)']","This company is non-operational as it reports zero power units, and its data is implausible with two drivers and negligible mileage."
2408188,RUSSELL FARMS,BAD,['Not a trucking company (farming-only operation)'],"Fails a hard exclusion as the business name, private property status, and extremely low mileage indicate this is a farm, not a trucking company."
2668050,GREGORY J MCCOY,BAD,"['Defunct, inactive, or missing operational data']","The carrier is classified as BAD because it is missing essential operational data, including the MCS-150 filing date, number of power units, and mileage, indicating it is likely defunct or inactive."
1419124,MICHAEL J MCCORMICK,BAD,"['Defunct, inactive, or missing operational data']","The company is considered inactive due to its extremely outdated MCS-150 filing from 2005, zero recent mileage, and missing power unit count."
1939761,NEWMAN CONCRETE,BAD,"['Defunct, inactive, or missing operational data', 'Not a trucking company']","The company's MCS-150 filing is from 2009 with zero reported mileage, indicating it is inactive, and its name suggests a construction business rather than a freight carrier."
1985989,JL WELDING,BAD,"['Defunct, inactive, or missing operational data', 'Not a trucking company']","This is a non-trucking business (welding) with extremely outdated operational data from 2010, indicating it is inactive and not the target business type."
1734370,CHU CONTRACTING INC,BAD,['Interstate operation'],Fails a hard exclusion due to being an interstate carrier.
2734147,CORPORATE BUSINESS INTERIORS INC,BAD,"['Missing operational data (MCS-150 date)', 'Missing operational data (truck count)', 'Recent mileage is zero', 'Appears to be a non-trucking business (office interiors)']","Fails exclusion due to missing essential operational data (MCS-150 date, truck count) and zero recent mileage, indicating inactivity."
4328741,DOLLZ ON THE GO,BAD,"['Highly implausible driver-to-truck ratio (8 drivers for 73 trucks)', 'Fleet size (73) is outside the target range of 1-50', 'Zero recent mileage reported']","Although there are no hard exclusions, the company's operational metrics are highly implausible, with a very low driver-to-truck ratio, zero recent mileage, and a fleet size outside the target range."
4375909,LISANDRE TRUCKING SERVICES LLC,BAD,['Interstate operation'],Fails a hard exclusion due to being an Interstate (A) carrier.
3492952,ADOMY TRUCKING LLC,BAD,['Interstate operation'],"This carrier is classified as BAD because it is an interstate operation (carrier_operation = 'A'), which is a hard exclusion."
4216182,H2 LIMOUSINE SERVICES LLC,BAD,"['Interstate operation', 'Not a trucking company', 'Missing operational data']","Classified as BAD due to the hard exclusion for interstate operation, and the company name and lack of power units indicate it is a passenger limousine service, not a trucking company."
222371,BERNARD ESSER,BAD,"['Defunct, inactive, or missing operational data', 'Missing recent MCS-150 filing date', 'Zero mileage reported']","The company is classified as BAD because it has no recent MCS-150 filing date and zero reported mileage, which indicates it is inactive or defunct."
3142729,J C HIMMELRICK INC,BAD,"['Defunct, inactive, or missing operational data']","The company is classified as bad because its operational data is over five years old (MCS-150 from 2020) with no recent mileage, indicating it is likely inactive."
3667007,A&A TRANSPORTATION CORP,BAD,['Interstate operation'],Fails a hard exclusion as the carrier operates interstate.
4460092,PEDRO MORALES,BAD,['Excluded state PR'],"The carrier is located in Puerto Rico (PR), which is a hard exclusion state."
3249577,DVX LLC,BAD,['Inactive carrier: MCS-150 filing is from 2019 with no recent mileage reported.'],"The carrier is classified as bad because its operational data is over six years old and shows no recent activity, indicating it is defunct or inactive."
