dot_number,legal_name,dba_name,expert_label,safer_company_snapshot_url,pc_flag,phy_street,phy_city,phy_state,phy_zip,phy_country,mailing_street,mailing_city,mailing_state,mailing_zip,mailing_country,telephone,fax,email_address,mcs150_date,mcs150_mileage,mcs150_mileage_year,add_date,oic_state,nbr_power_unit,driver_total,recent_mileage,recent_mileage_year,vmt_source_id,private_only,authorized_for_hire,exempt_for_hire,private_property,private_passenger_business,private_passenger_nonbusiness,migrant,us_mail,federal_government,state_government,local_government,indian_tribe,op_other,usdot_status,cargo_carried,num_filings,num_unique_companies,top_company,top_company_share,cancelled_method_count,replaced_method_count,name_changed_method_count,transferred_method_count,first_filing_date,last_filing_date,all_companies,count_cargo,count_bipd,count_broker_bond,count_broker_trust_fund,median_gap_days
3319539,AEROSTAR CONSTRUCTION INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3319539,FALSE,5046 HASKELL AVE,ENCINO,CA,91436-1540,US,5046 HASKELL AVE,ENCINO,CA,91436-1540,US,(818) 203-7523,,AEROSTARCONSTRUCTION@GMAIL.COM,6-Aug-19,,,6-Aug-19,CA,1,50,0,0,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Building Materials; Construction; Garbage/Refuse,,,,,,,,,,,,,,,,
1184736,STALLION INFRASTRUCTURE SERVICES LTD,STALLION,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1184736,FALSE,950 CORBINDALE ROAD STE 400,HOUSTON,TX,77024,US,950 CORBINDALE ROAD STE 400,HOUSTON,TX,77024,US,(713) 528-5544,,AMOULTON@STALLIONIS.COM,15-Sep-25,22458516,2024,6-Nov-03,TX,991,335,22458516,2024,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Garbage/Refuse; General Freight; Machinery, Large Objects; Mobile Homes; Oilfield Equipment; WATER TANKS",6,1,ZURICH AMERICAN INSURANCE COMPANY,1,0,3,3,0,9/30/14,9/30/24,ZURICH AMERICAN INSURANCE COMPANY,0,6,0,0,0
2154826,FREIGHTSOL LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2154826,FALSE,12115 DOC ADAMS,LAREDO,TX,78045,US,12115 DOC ADAMS,LAREDO,TX,78045,US,(956) 413-8050,(956) 513-0484,ARAMOS@FREIGHTSOL.NET,23-Jun-25,30000000,2024,18-May-11,TX,494,427,30000000,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,28,8,AMERICAN MILLENNIUM INS/CITADEL REINSURANCE,0.28571429,18,10,0,0,1/18/13,9/16/24,"ACCIDENT INSURANCE COMPANY, INC., AMERICAN MILLENNIUM INS/CITADEL REINSURANCE, BRICKTOWN SPECIALTY INSURANCE COMPANY, HALLMARK COUNTY MUTUAL INSURANCE COMPANY, OLD REPUBLIC INSURANCE COMPANY , TRISURA SPECIALTY INSURANCE COMPANY, UNITED SPECIALTY INSURANCE COMPANY, UNITED WISCONSIN INSURANCE COMPANY",0,28,0,0,126
3489741,MJ & AD DPS LLC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3489741,FALSE,2733 N POWER RD SUIT 102-434,MESA,AZ,85215,US,2733 N POWER RD SUIT 102-434,MESA,AZ,85215,US,(434) 422-0062,,SLMOORE629@GMAIL.COM,18-Jan-24,500000,2023,18-Sep-20,AZ,25,40,500000,2023,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,1,1,OLD REPUBLIC INSURANCE COMPANY,1,0,1,0,0,10/20/20,10/20/20,OLD REPUBLIC INSURANCE COMPANY,0,1,0,0,
285579,CARSTENSEN & SONS TRUCKING INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=285579,FALSE,700 CANNON INDUSTRIAL BLVD,CANNON FALLS,MN,55009,US,700 CANNON INDUSTRIAL BLVD,CANNON FALLS,MN,55009,US,(651) 437-2783,(651) 437-7787,DISPATCH@CARSTENSENTRUCKING.COM,21-Jan-25,2372908,2024,14-Jan-87,MN,42,39,2372908,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Commodities Dry Bulk; LIQUID MOLASSES,23,7,AUTO OWNERS INSURANCE COMPANY,0.26086957,14,9,0,0,6/15/92,7/29/23,"ACUITY, A MUTUAL INSURANCE COMPANY, AMERICAN CONTRACTORS INDEMNITY COMPANY, AUTO OWNERS INSURANCE COMPANY, CAROLINA CASUALTY INSURANCE CO., HUDSON INSURANCE COMPANY, NORTHLAND INSURANCE COMPANY, WESTERN NATIONAL MUTUAL INSURANCE CO.",5,11,7,0,163.5
1978620,PSI TRANSPORT LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1978620,FALSE,742 WEST US HWY 24,HOXIE,KS,67740,US,PO BOX 605,HOXIE,KS,67740,US,(785) 675-3881,(785) 675-2214,ROSE.BEAR@FEEDCATTLE.COM,25-Oct-24,1493884,2023,28-Dec-09,KS,26,17,1493884,2023,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Agricultural/Farm Supplies; Grain, Feed, Hay; Livestock",7,4,CONTINENTAL WESTERN INSURANCE CO.,0.42857143,3,4,0,0,12/29/09,1/1/22,"CONTINENTAL WESTERN INSURANCE CO., NATIONWIDE AGRIBUSINESS INSURANCE CO., NATIONWIDE MUTUAL INSURANCE COMP, TRIANGLE INSURANCE COMPANY INC.",1,6,0,0,548
2691536,STEVE SCHEIDT INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2691536,FALSE,5683 E NEBRASKA AVE,SELMA,CA,93662,US,PO BOX 551,KINGSBURG,CA,93631,US,(559) 898-0263,,SSI18@SBCGLOBAL.NET,7-Jul-25,618250,2024,12-Jun-15,CA,12,18,618250,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
4255302,OBC SOLUTIONS LLC,OREGON BROTHERS CONSTRUCTION,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4255302,FALSE,20774 SW PRINDLE RD,TUALATIN,OR,97062-9701,US,20774 SW PRINDLE RD,TUALATIN,OR,97062-9701,US,(503) 793-7878,,JOHN@OBCCREATES.COM,17-Jun-24,,,17-Jun-24,OR,10,14,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Building Materials; General Freight,,,,,,,,,,,,,,,,
4453417,OTTER EXPRESS JOINT POWERS BOARD,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4453417,TRUE,1225 N TOWER RD,FERGUS FALLS,MN,56537-1077,US,1225 N TOWER RD,FERGUS FALLS,MN,56537-1077,US,(218) 998-3002,(218) 998-3007,KAYLAS@PRODUCTIVEMN.ORG,14-Aug-25,,,14-Aug-25,MN,19,20,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Passengers,,,,,,,,,,,,,,,,
2081814,THOMPSON WELDING LLC,TRINITY RECYCLING,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2081814,FALSE,585 LINDBERGH DRIVE,GYPSUM,CO,81637,US,PO BOX 687,EAGLE,CO,81631,US,(970) 328-5051,,BRIAN@TRINITYRECYCLE.COM,16-Jun-25,350000,2024,1-Oct-10,CO,18,12,350000,2024,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Garbage/Refuse; Metal: sheets, coils, rolls; RECYCLE MATERIAL",,,,,,,,,,,,,,,,
