recordid,validityscore,issues,summarycomment
4457575,0.5,Missing physical address;Typo in DBA name ("HARWDARE"),Record is likely valid but has data quality issues, including a missing address and a typo.
1107199,1.0,,Valid record.
1082692,1.0,Fewer drivers than power units,Valid record; the ratio of drivers to trucks is slightly unusual but plausible for a landscaping company.
4379708,1.0,Extremely low mileage (1 mile),Valid record; mileage is unusually low but plausible for a newly established carrier.
3288005,1.0,Fewer drivers than power units,Valid record; low mileage and driver/truck ratio are plausible for a local grading company.
3332784,1.0,,Valid record with plausible metrics for a local trucking company.
2420291,1.0,,Valid record with reasonable mileage for a two-bus operation.
4301807,1.0,,Valid record for a non-operational carrier with zero power units and drivers.
1891345,1.0,,Valid record; low mileage is plausible for a farm vehicle.
4430365,1.0,,Valid record for a new carrier with no mileage reported yet.
2656506,1.0,,Valid record for a school district with plausible vehicle and driver counts.
1869429,1.0,,Valid record.
2182380,1.0,"MCS-150 mileage update is very old (2012)",Valid record, but mileage information is outdated.
4021922,1.0,,Valid record.
2902068,1.0,Fewer drivers than power units,Valid record; driver-to-truck ratio is plausible for a construction company.
1214020,1.0,MCS-150 data is very old (2003),Valid record, but all operational data is over 20 years old.
3442101,1.0,,Valid record.
4388246,1.0,,Valid record.
4162939,1.0,,Valid record.
3848924,1.0,Extremely low mileage (1 mile),Valid record, though mileage is very low.
2558757,1.0,Fewer drivers than power units,Valid record.
2687134,1.0,"No contact name, fax, or email provided",Valid record with minimal contact information.
4431340,1.0,,Valid record.
2986228,1.0,,Valid record.
2705271,0.5,"Missing driver total; No contact name, fax, or email provided",Record has missing data for driver count and contact details.
2272419,1.0,,Valid record.
3288430,1.0,,Valid record.
3201457,1.0,,Valid record.
3115805,1.0,,Valid record.
1436379,1.0,Fewer drivers than power units,Valid record; plausible for this type of operation.
1463636,1.0,Fewer drivers than power units,Valid record.
4090462,1.0,,Valid record.
1526619,1.0,,Valid record.
2091577,1.0,Fewer drivers than power units,Valid record; plausible ratio for a contracting company.
3983160,0.0,"Implausible mileage (650,000 for one truck); Inconsistent driver to power unit ratio (3 drivers for 1 truck)",Record is invalid due to physically impossible mileage and an unusual driver-to-truck ratio.
3722814,1.0,Fewer drivers than power units,Valid record.
1947242,0.5,Unusual op_other value ("PLUMBING CONTRACTOR"),Record appears valid, but the 'op_other' field contains an unclassified description.
3542125,1.0,Fewer drivers than power units,Valid record.
2485110,1.0,Fewer drivers than power units,Valid record.
1699104,1.0,Extremely low mileage (1 mile),Valid record; mileage is unusually low.
2325207,1.0,No contact information,Valid record, but lacks phone, fax, or email.
3693346,1.0,Zero power units but 1 driver listed,Record is inconsistent, listing a driver but no power units.
4431259,1.0,,Valid record.
1525358,1.0,,Valid record.
3524438,1.0,,Valid record.
3941150,1.0,,Valid record.
4137288,1.0,Zero power units but 4 drivers listed,Inconsistent record with drivers listed but no power units.
2935130,1.0,,Valid record.
4135896,1.0,Extremely low mileage (1 mile),Valid record with unusually low mileage.
2299161,1.0,Fewer drivers than power units,Valid record.
4333355,1.0,,Valid record.
2273655,1.0,Fewer drivers than power units,Valid record.
3811776,1.0,"Low mileage for a 'for-hire' carrier",Valid record, although the reported mileage is very low for a commercial carrier.
4265954,1.0,,Valid record for a new carrier.
